,128N,128C,129N,129C,130N,130C,131N,131C
NanoPOTS_SingleCell_AML_TMT_A_01,1.4414140129579054,1.9011233623812582,1.145503668798855,0.9173004307019252,0.8543368469625905,1.0826995692980745,0.8165867009419207,0.6084437078271425
NanoPOTS_SingleCell_AML_TMT_A_02,1.3698224317283667,1.4141950061138777,1.0793423594251184,1.0042178666997468,0.9957821333002534,0.8120588704389587,0.76107302982509,0.7730739513370786
NanoPOTS_SingleCell_AML_TMT_A_03,1.373507125175264,1.4730852479816892,0.8957127218898108,0.9971485970895094,0.8467955814850291,1.0028514029104907,1.2877648505570236,0.6578133468864789
NanoPOTS_SingleCell_AML_TMT_A_04,1.367514267407557,1.3811060637641215,1.072887853382617,0.9271121466173828,0.6929216108748987,1.1947518432393818,0.9072988163865486,0.8056178803709788
NanoPOTS_SingleCell_AML_TMT_A_07,1.4636653698343154,1.4546938509295877,1.0282264535825005,0.9717735464174996,1.0623662435677295,0.8918918918918919,0.6150984290704774,0.9169577071394597
NanoPOTS_SingleCell_AML_TMT_B_01,1.7498747270552002,1.9859062206296274,0.9653331694567147,1.0181956696579026,1.062334081020405,0.9818043303420972,0.9780894034744768,0.813501677540563
NanoPOTS_SingleCell_AML_TMT_B_02,1.3286090634212038,1.579572498108542,1.0462690225175635,0.9537309774824365,0.9421304576598754,0.8181782374373359,1.058717044174891,0.7895236047157012
NanoPOTS_SingleCell_AML_TMT_B_03,1.3014640092005907,1.3942329851837099,0.9591496067540497,0.8842742379618016,1.0408503932459503,0.8753323904761685,0.8630144068130445,1.091566093953999
NanoPOTS_SingleCell_AML_TMT_B_04,1.272021459310669,1.2182567046906077,0.8792198616567791,1.096092678000704,0.8215409592667656,2.1794947984858193,0.9039073219992959,0.7901604968379088
NanoPOTS_SingleCell_AML_TMT_B_05,1.5842233330450874,1.6758770782518275,1.236237765829704,0.9534548215723787,0.9800026991934997,0.9268596485398976,1.0199973008065004,0.713007006539213
NanoPOTS_SingleCell_AML_TMT_B_06,1.3578042203010567,1.472018758442366,1.1296821510354298,0.7790763915175808,0.8710456402869172,1.09702371333002,0.8375892805416006,0.9029762866699801
NanoPOTS_SingleCell_AML_TMT_B_07,1.415220059734403,1.3618715829141548,0.8717316561446361,0.696906689350216,0.7899650004870944,0.8936027163233641,1.1063972836766358,1.1128417561059063
NanoPOTS_SingleCell_AML_TMT_B_08,1.5568789590045633,1.3489923636993377,0.9175622122065484,0.8337108730013374,1.0183438091537214,1.7157581115999168,0.8781317755012831,0.9816561908462786
